source_system,source_code,target_system,target_code,relationship
NAMASTE,NAM001,ICD11_TM2,MG30.00,equivalent
NAMASTE,NAM002,ICD11_TM2,8A80,equivalent
NAMASTE,NAM003,ICD11_BIO,MD12,equivalent
NAMASTE,NAM004,ICD11_BIO,MG22,equivalent
NAMASTE,NAM005,ICD11_BIO,MD90,equivalent
NAMASTE,NAM006,ICD11_BIO,DA20,equivalent
NAMASTE,NAM007,ICD11_BIO,DA21,equivalent
NAMASTE,NAM008,ICD11_BIO,MB20,equivalent
NAMASTE,NAM009,ICD11_BIO,MB21,equivalent
NAMASTE,NAM010,ICD11_BIO,MB22,equivalent
NAMASTE,NAM011,ICD11_BIO,ME82,equivalent
NAMASTE,NAM012,ICD11_BIO,ME83,equivalent
NAMASTE,NAM013,ICD11_BIO,EA80,equivalent
NAMASTE,NAM014,ICD11_BIO,CA23,equivalent
NAMASTE,NAM015,ICD11_BIO,BA00,equivalent
